unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1192,flat,1,0.2,0.4,True,0.03820273434788137,0.03114371652642002,0.03262920789612048,0.01723259255467875,,0.016178336066556293,,0.0
0.0,1192,flat,2,0.4,0.4,True,0.04845382193779571,0.05548609852040306,0.04901007687563262,0.018826887427501916,,0.01809368935251379,,0.0
0.0,1192,flat,3,0.6,0.4,False,0.1729827105273477,0.16574634505359565,0.11115100267961603,0.020037342994824337,,0.018722840221344097,,0.0
0.0,1208,flat,0,0.0,0.4,True,0.03048056497381905,0.02595509371140869,0.01404247710235997,0.009451976553569035,,0.008725044042635062,,0.0
0.0,1208,flat,1,0.2,0.4,True,0.038690408112739175,0.03453923108158465,0.04644590191467462,0.014807166076785928,,0.017612309580333864,,0.0
0.0,1208,flat,2,0.4,0.4,True,0.06414855956814901,0.06803388142757942,0.09341728932075918,0.0238921210408714,,0.023169457081819368,,0.0
0.0,1208,flat,3,0.6,0.4,False,0.17470562537707382,0.1703979917241859,0.1423244056901231,0.023331683849442002,,0.02279500046619448,,0.0
0.0,1224,flat,0,0.0,0.4,True,0.02574233160960771,0.007687302022804007,0.03578274275309104,0.010261996562759567,,0.009241072749705674,,0.0
0.0,1224,flat,1,0.2,0.4,True,0.03879236647771793,0.04324451822276335,0.0420902211093074,0.017528060650925294,,0.018803426707180146,,0.0
0.0,1224,flat,2,0.4,0.4,True,0.05532739436789018,0.040633061710213976,0.08004885269308873,0.022562031137230217,,0.02124522048852069,,0.0
0.0,1224,flat,3,0.6,0.4,False,0.18516970345602946,0.17366301681296797,0.14829133384526857,0.024935064523591705,,0.02297416922564814,,0.0
0.0,1240,flat,0,0.0,0.4,True,0.028188657692756736,0.017633173737651345,0.03218011852808379,0.008185333711789814,,0.007774444881603974,,0.0
0.0,1240,flat,1,0.2,0.4,True,0.04080136022161902,0.051266333530338014,0.0436441597689458,0.01991576526372324,,0.0199490155571589,,0.0
0.0,1240,flat,2,0.4,0.4,True,0.045016505494557095,0.04877567563604863,0.053978833332194366,0.01665018394704189,,0.01735877657552197,,0.0
0.0,1240,flat,3,0.6,0.4,False,0.18570519299691574,0.18354196262779507,0.1629635263435239,0.022875843113429675,,0.021554581092676835,,0.0
